Player Name,Player ID,Player Team,Position,Avg Min,Offensive Rating,Defensive Rating,Player Height,Player Weight,Height Guarded,Weight Guarded,GuardedHeightDifference,GuardedWeightDifference
Damian Lillard,203081,MIL,Guard,35.31,0.34,0.18,187.96,195.0,,,,
Bobby Portis,1626171,MIL,Forward,23.38,0.27,0.26,208.28,250.0,202.55,227.08,5.73,22.92
MarJon Beauchamp,1630699,MIL,Forward,15.4,0.16,0.24,200.66,199.0,196.76,210.05,3.9,-11.05
AJ Green,1631260,MIL,Guard,7.5,0.23,0.24,193.04,190.0,197.03,210.24,-3.99,-20.24
Andre Jackson Jr,1641748,MIL,Guard,11.59,0.12,0.28,198.12,209.0,,,,
Cameron Payne,1626166,MIL,Guard,14.98,0.22,0.23,190.5,183.0,195.09,204.78,-4.59,-21.78
Chris Livingston,1641753,MIL,Forward,4.62,0.13,0.23,198.12,220.0,197.09,208.17,1.03,11.83
Robin Lopez,201577,MIL,Center,2.85,0.12,0.39,215.9,281.0,202.71,226.16,13.19,54.84
Thanasis Antetokounmpo,203648,MIL,Forward,4.05,0.1,0.18,200.66,219.0,,,,
Lindell Wigginton,1629623,,Guard,2.33,0.25,0.43,185.42,189.0,196.16,207.32,-10.74,-18.32
Jayson Tatum,1628369,BOS,Forward-Guard,35.89,0.39,0.18,203.2,210.0,199.84,218.18,3.36,-8.18
Jaylen Brown,1627759,BOS,Guard-Forward,33.31,0.36,0.17,198.12,223.0,198.48,215.95,-0.36,7.05
Al Horford,201143,BOS,Center-Forward,27.08,0.14,0.28,205.74,240.0,203.25,227.82,2.49,12.18
Derrick White,1628401,BOS,Guard,32.09,0.26,0.24,193.04,190.0,197.43,210.97,-4.39,-20.97
Jrue Holiday,201950,BOS,Guard,33.68,0.19,0.25,193.04,205.0,198.79,217.65,-5.75,-12.65
Dalano Banton,1630625,BOS,Forward,7.41,0.17,0.22,203.2,204.0,199.01,212.36,4.19,-8.36
Sam Hauser,1630573,BOS,Forward,21.68,0.19,0.23,200.66,217.0,198.4,213.28,2.26,3.72
Payton Pritchard,1630202,BOS,Guard,20.88,0.19,0.18,185.42,195.0,195.27,206.17,-9.85,-11.17
Luke Kornet,1628436,BOS,Center-Forward,15.12,0.18,0.37,215.9,250.0,202.33,223.21,13.57,26.79
Oshae Brissett,1629052,BOS,Forward-Guard,11.6,0.16,0.2,200.66,210.0,200.5,219.89,0.16,-9.89
Svi Mykhailiuk,1629004,BOS,Guard-Forward,7.62,0.18,0.15,200.66,205.0,198.23,211.53,2.43,-6.53
Neemias Queta,1629674,BOS,Center,12.25,0.19,0.39,213.36,248.0,203.41,227.32,9.95,20.68
Lamar Stevens,1630205,BOS,Forward,6.39,0.21,0.31,200.66,230.0,201.14,222.28,-0.48,7.72
Buddy Hield,1627741,IND,Guard,25.85,0.24,0.28,193.04,220.0,,,,
Obi Toppin,1630167,IND,Forward,23.15,0.22,0.22,205.74,220.0,,,,
Myles Turner,1626167,IND,Center-Forward,27.46,0.29,0.32,210.82,250.0,206.94,240.94,3.88,9.06
Bruce Brown,1628971,TOR,Guard-Forward,29.56,0.19,0.29,193.04,202.0,196.93,211.13,-3.89,-9.13
Tyrese Haliburton,1630169,IND,Guard,33.17,0.33,0.2,195.58,185.0,196.74,207.62,-1.16,-22.62
Aaron Nesmith,1630174,IND,Guard-Forward,26.53,0.23,0.26,198.12,215.0,,,,
Bennedict Mathurin,1631097,IND,Guard-Forward,25.49,0.28,0.21,195.58,210.0,,,,
TJ McConnell,204456,IND,Guard,17.05,0.25,0.2,185.42,190.0,194.53,203.21,-9.11,-13.21
Andrew Nembhard,1629614,IND,Guard-Forward,22.0,0.22,0.25,193.04,191.0,,,,
Isaiah Jackson,1630543,IND,Forward,13.36,0.24,0.34,205.74,205.0,,,,
Jordan Nwora,1629670,TOR,Forward,11.09,0.26,0.21,203.2,225.0,198.97,213.67,4.23,11.33
Ben Sheppard,1641767,IND,Guard,10.38,0.12,0.28,198.12,190.0,,,,
Oscar Tshiebwe,1631131,IND,Forward-Center,5.67,0.31,0.28,203.2,255.0,207.11,240.16,-3.91,14.84
Jarace Walker,1641716,IND,Forward,10.93,0.2,0.23,200.66,235.0,201.97,223.16,-1.31,11.84
Eric Gordon,201569,PHX,Guard,30.35,0.23,0.16,190.5,215.0,197.95,213.08,-7.45,1.92
Kevin Durant,201142,PHX,Forward,37.29,0.4,0.18,210.82,240.0,201.41,220.05,9.41,19.95
Jusuf Nurkic,203994,PHX,Center,27.44,0.23,0.33,213.36,290.0,205.67,236.11,7.69,53.89
Grayson Allen,1628960,PHX,Guard,33.02,0.2,0.26,193.04,198.0,196.76,210.57,-3.72,-12.57
Devin Booker,1626164,PHX,Guard,36.23,0.41,0.22,198.12,206.0,197.74,212.15,0.38,-6.15
Drew Eubanks,1629234,PHX,Forward-Center,16.1,0.18,0.31,208.28,245.0,204.64,231.06,3.64,13.94
Josh Okogie,1629006,PHX,Guard,18.31,0.15,0.23,193.04,213.0,197.41,213.32,-4.37,-0.32
Nassir Little,1629642,PHX,Forward-Guard,13.43,0.15,0.24,198.12,220.0,199.34,216.69,-1.22,3.31
Keita Bates-Diop,1628966,PHX,Forward,15.81,0.14,0.24,203.2,229.0,201.05,220.22,2.15,8.78
Jordan Goodwin,1630692,PHX,Guard,14.53,0.18,0.26,193.04,200.0,195.78,206.96,-2.74,-6.96
Udoka Azubuike,1628962,PHX,Center-Forward,8.5,0.22,0.36,210.82,270.0,205.42,235.15,5.4,34.85
Bol Bol,1629626,PHX,Center-Forward,7.17,0.25,0.31,220.98,220.0,200.19,218.56,20.79,1.44
Saben Lee,1630240,PHX,Guard,6.82,0.19,0.14,187.96,183.0,194.06,202.54,-6.1,-19.54
Chimezie Metu,1629002,PHX,Forward-Center,12.22,0.22,0.25,208.28,225.0,200.89,219.53,7.39,5.47
Yuta Watanabe,1629139,PHX,Guard-Forward,13.89,0.13,0.27,205.74,215.0,198.74,213.31,7.0,1.69
Cam Reddish,1629629,LAL,Forward-Guard,23.29,0.14,0.23,200.66,217.0,197.5,212.48,3.16,4.52
LeBron James,2544,LAL,Forward,34.75,0.37,0.15,205.74,250.0,200.44,221.1,5.3,28.9
Anthony Davis,203076,LAL,Forward-Center,35.91,0.35,0.3,208.28,253.0,205.47,234.57,2.81,18.43
Taurean Prince,1627752,LAL,Forward,30.3,0.15,0.24,198.12,218.0,199.18,214.95,-1.06,3.05
D'Angelo Russell,1626156,LAL,Guard,30.71,0.29,0.23,190.5,193.0,196.89,209.2,-6.39,-16.2
Max Christie,1631108,LAL,Guard,16.82,0.14,0.25,195.58,190.0,,,,
Rui Hachimura,1629060,LAL,Forward,22.8,0.25,0.2,203.2,230.0,200.65,220.7,2.55,9.3
Austin Reaves,1630559,LAL,Guard,30.53,0.25,0.28,195.58,197.0,196.63,209.34,-1.05,-12.34
Jarred Vanderbilt,1629020,LAL,Forward,20.25,0.11,0.24,203.2,214.0,198.14,212.48,5.06,1.52
Jaxson Hayes,1629637,LAL,Center-Forward,10.0,0.16,0.31,213.36,220.0,,,,
Jalen Hood-Schifino,1641720,LAL,Guard,6.43,0.15,0.25,195.58,215.0,,,,
Maxwell Lewis,1641721,LAL,Forward,3.76,0.03,0.18,200.66,195.0,,,,
Christian Wood,1626174,LAL,Forward,18.14,0.21,0.28,203.2,214.0,202.9,226.29,0.3,-12.29
Brandon Ingram,1627742,NOP,Forward,33.16,0.35,0.19,203.2,190.0,199.46,214.81,3.74,-24.81
Zion Williamson,1629627,NOP,Forward,30.34,0.39,0.2,198.12,284.0,201.16,223.88,-3.04,60.12
Jonas Valanciunas,202685,NOP,Center,26.31,0.29,0.32,210.82,265.0,206.64,237.45,4.18,27.55
Herbert Jones,1630529,NOP,Forward,28.48,0.2,0.23,200.66,206.0,198.76,213.68,1.9,-7.68
CJ McCollum,203468,NOP,Guard,32.0,0.31,0.24,190.5,190.0,195.93,205.87,-5.43,-15.87
Naji Marshall,1630230,NOP,Forward,18.59,0.2,0.22,198.12,220.0,198.7,214.36,-0.58,5.64
Trey Murphy III,1630530,NOP,Forward,25.83,0.26,0.17,203.2,206.0,198.74,212.34,4.46,-6.34
Jose Alvarado,1630631,NOP,Guard,16.03,0.21,0.23,182.88,179.0,195.0,206.18,-12.12,-27.18
Cody Zeller,203469,NOP,Forward-Center,8.27,0.1,0.25,210.82,240.0,206.62,237.58,4.2,2.42
Dyson Daniels,1630700,NOP,Guard,21.9,0.12,0.28,200.66,199.0,196.89,211.31,3.77,-12.31
Jordan Hawkins,1641722,NOP,Guard,21.63,0.23,0.23,195.58,190.0,196.35,207.18,-0.77,-17.18
Kira Lewis Jr,1630184,TOR,Guard,9.06,0.14,0.19,185.42,170.0,194.74,207.21,-9.32,-37.21
Jeremiah Robinson-Earl,1630526,NOP,Forward,10.74,0.16,0.29,203.2,240.0,201.8,224.05,1.4,15.95
Harrison Barnes,203084,SAC,Forward,29.87,0.19,0.24,203.2,225.0,,,,
Keegan Murray,1631099,SAC,Forward,33.0,0.25,0.23,203.2,225.0,,,,
Domantas Sabonis,1627734,SAC,Forward-Center,35.43,0.3,0.29,208.28,240.0,,,,
Kevin Huerter,1628989,SAC,Guard-Forward,24.93,0.21,0.26,200.66,198.0,,,,
De'Aaron Fox,1628368,SAC,Guard,35.62,0.4,0.25,190.5,185.0,,,,
Trey Lyles,1626168,SAC,Forward,20.06,0.17,0.27,205.74,234.0,,,,
Malik Monk,1628370,SAC,Guard,25.42,0.27,0.2,190.5,200.0,,,,
Keon Ellis,1631165,SAC,Guard,12.14,0.16,0.25,190.5,175.0,195.84,205.21,-5.34,-30.21
Sasha Vezenkov,1628426,SAC,Forward,12.61,0.22,0.25,203.2,225.0,199.28,216.85,3.92,8.15
JaVale McGee,201580,SAC,Center-Forward,8.22,0.29,0.26,213.36,270.0,,,,
Kessler Edwards,1630556,SAC,Forward,4.65,0.17,0.25,200.66,203.0,198.94,219.34,1.72,-16.34
Jordan Ford,1630259,SAC,Guard,3.33,0.24,0.18,185.42,175.0,191.89,196.6,-6.47,-21.6
Colby Jones,1641732,SAC,Guard,7.27,0.18,0.23,198.12,207.0,195.3,207.7,2.82,-0.7
Davion Mitchell,1630558,SAC,Guard,12.53,0.15,0.23,182.88,202.0,,,,
Jalen Slawson,1641771,SAC,Forward,3.6,0.11,0.13,200.66,215.0,199.61,230.46,1.05,-15.46
Franz Wagner,1630532,ORL,Forward,33.0,0.32,0.23,208.28,220.0,199.42,216.44,8.86,3.56
Paolo Banchero,1631094,ORL,Forward,34.88,0.35,0.23,208.28,250.0,201.79,223.38,6.49,26.62
Goga Bitadze,1629048,ORL,Center-Forward,19.73,0.18,0.31,208.28,250.0,206.08,236.86,2.2,13.14
Jalen Suggs,1630591,ORL,Guard,26.48,0.25,0.24,195.58,205.0,196.13,208.14,-0.55,-3.14
Anthony Black,1641710,ORL,Guard,19.4,0.13,0.25,200.66,200.0,195.48,206.46,5.18,-6.46
Gary Harris,203914,ORL,Guard,22.81,0.17,0.18,193.04,210.0,196.23,209.45,-3.19,0.55
Joe Ingles,204060,ORL,Forward-Guard,18.0,0.14,0.18,205.74,220.0,198.85,215.48,6.89,4.52
Moritz Wagner,1629021,ORL,Forward-Center,19.0,0.31,0.28,210.82,245.0,204.64,232.53,6.18,12.47
Cole Anthony,1630175,ORL,Guard,23.83,0.27,0.27,187.96,185.0,194.92,206.09,-6.96,-21.09
Caleb Houstan,1631216,ORL,Guard,15.64,0.16,0.19,203.2,205.0,198.53,211.66,4.67,-6.66
Chuma Okeke,1629643,ORL,Forward,12.66,0.13,0.24,200.66,229.0,198.93,212.92,1.73,16.08
Admiral Schofield,1629678,ORL,Forward,3.83,0.15,0.1,195.58,241.0,203.52,223.1,-7.94,17.9
Max Strus,1629622,CLE,Guard-Forward,33.09,0.19,0.25,195.58,215.0,,,,
Evan Mobley,1630596,CLE,Center,32.48,0.26,0.32,210.82,215.0,,,,
Jarrett Allen,1628386,CLE,Center,30.5,0.26,0.31,205.74,243.0,205.65,234.5,0.09,8.5
Donovan Mitchell,1628378,CLE,Guard,35.69,0.4,0.17,190.5,215.0,,,,
Darius Garland,1629636,CLE,Guard,33.33,0.33,0.19,185.42,192.0,,,,
Isaac Okoro,1630171,CLE,Forward-Guard,26.61,0.17,0.19,195.58,225.0,,,,
Georges Niang,1627777,CLE,Forward,22.11,0.22,0.27,200.66,230.0,,,,
Dean Wade,1629731,CLE,Forward-Center,22.0,0.13,0.24,205.74,228.0,,,,
Tristan Thompson,202684,CLE,Center-Forward,12.5,0.16,0.27,205.74,254.0,204.91,232.41,0.83,21.59
Damian Jones,1627745,CLE,Center,6.3,0.13,0.27,208.28,245.0,202.99,229.04,5.29,15.96
Sam Merrill,1630241,CLE,Guard,16.33,0.27,0.16,193.04,205.0,,,,
Craig Porter Jr,1641854,CLE,Guard,16.0,0.25,0.25,185.42,180.0,195.05,205.37,-9.63,-25.37
David Roddy,1631223,MEM,Forward,23.02,0.19,0.22,193.04,255.0,199.42,218.62,-6.38,36.38
Jaren Jackson Jr,1628991,MEM,Forward-Center,31.76,0.37,0.25,208.28,242.0,203.72,230.12,4.56,11.88
Bismack Biyombo,202687,,Center,23.9,0.12,0.32,203.2,255.0,206.75,237.73,-3.55,17.27
Derrick Rose,201565,MEM,Guard,17.88,0.25,0.22,190.5,200.0,194.75,205.97,-4.25,-5.97
Desmond Bane,1630217,MEM,Guard,34.54,0.36,0.21,195.58,215.0,198.5,214.02,-2.92,0.98
Jaylen Nowell,1629669,,Guard,17.22,0.18,0.23,193.04,201.0,195.72,207.37,-2.68,-6.37
Santi Aldama,1630583,MEM,Forward-Center,23.83,0.23,0.26,213.36,215.0,200.94,220.91,12.42,-5.91
Vince Williams Jr,1631246,MEM,Guard,24.97,0.15,0.24,193.04,205.0,197.86,213.31,-4.82,-8.31
John Konchar,1629723,MEM,Guard,18.08,0.1,0.26,195.58,210.0,197.32,211.16,-1.74,-1.16
Xavier Tillman,1630214,MEM,Forward,20.68,0.15,0.27,200.66,245.0,203.38,233.73,-2.72,11.27
Kenneth Lofton Jr,1631254,PHI,Forward,6.38,0.2,0.29,198.12,275.0,205.65,228.14,-7.53,46.86
Ziaire Williams,1630533,MEM,Forward,18.86,0.21,0.26,205.74,185.0,197.34,210.38,8.4,-25.38
Jacob Gilyard,1631367,MEM,Guard,16.03,0.11,0.21,172.72,160.0,195.26,207.56,-22.54,-47.56
Bojan Bogdanovic,202711,DET,Forward,33.15,0.32,0.2,200.66,226.0,200.45,218.37,0.21,7.63
Isaiah Stewart,1630191,DET,Forward-Center,30.6,0.19,0.25,203.2,250.0,203.46,226.88,-0.26,23.12
Jalen Duren,1631105,DET,Center,29.91,0.25,0.32,208.28,250.0,206.59,235.45,1.69,14.55
Killian Hayes,1630165,DET,Guard,23.9,0.14,0.25,195.58,195.0,196.81,209.79,-1.23,-14.79
Cade Cunningham,1630595,DET,Guard,34.39,0.33,0.27,198.12,220.0,197.9,211.95,0.22,8.05
Isaiah Livers,1630587,WAS,Forward,20.39,0.11,0.25,198.12,232.0,200.24,216.42,-2.12,15.58
Marcus Sasser,1631204,DET,Guard,15.36,0.23,0.23,187.96,195.0,194.92,204.42,-6.96,-9.42
Alec Burks,202692,DET,Guard,20.82,0.29,0.19,195.58,214.0,197.84,211.25,-2.26,2.75
Ausar Thompson,1641709,DET,Guard-Forward,23.51,0.19,0.26,198.12,205.0,197.71,211.56,0.41,-6.56
James Wiseman,1630164,DET,Center,14.59,0.22,0.36,210.82,240.0,205.85,233.89,4.97,6.11
Jaden Ivey,1631093,DET,Guard,26.74,0.26,0.23,193.04,195.0,195.96,205.56,-2.92,-10.56
Marvin Bagley III,1628963,WAS,Forward,19.68,0.31,0.35,208.28,235.0,,,,
Kevin Knox II,1628995,DET,Forward,18.28,0.21,0.23,200.66,215.0,200.67,218.17,-0.01,-3.17
Jimmy Butler,202710,MIA,Forward,33.76,0.32,0.2,200.66,230.0,,,,
Caleb Martin,1628997,MIA,Forward,26.32,0.21,0.26,195.58,205.0,,,,
Orlando Robinson,1631115,MIA,Center,11.4,0.16,0.3,208.28,235.0,205.21,234.84,3.07,0.16
Duncan Robinson,1629130,MIA,Forward,27.47,0.25,0.2,200.66,215.0,,,,
Kyle Lowry,200768,CHA,Guard,28.08,0.14,0.27,182.88,196.0,197.44,212.02,-14.56,-16.02
Kevin Love,201567,MIA,Forward-Center,18.0,0.26,0.23,203.2,251.0,205.33,234.13,-2.13,16.87
Jaime Jaquez Jr,1631170,MIA,Guard,29.79,0.23,0.27,198.12,225.0,199.52,217.17,-1.4,7.83
Josh Richardson,1626196,MIA,Guard,25.95,0.19,0.26,195.58,200.0,196.25,207.71,-0.67,-7.71
Nikola Jovic,1631107,MIA,Forward,16.74,0.19,0.31,208.28,205.0,202.31,220.34,5.97,-15.34
Thomas Bryant,1628418,MIA,Center-Forward,10.44,0.2,0.27,208.28,248.0,205.99,237.03,2.29,10.97
Jamal Cain,1631288,MIA,Forward,14.86,0.21,0.24,198.12,191.0,197.37,211.87,0.75,-20.87
Haywood Highsmith,1629312,MIA,Forward,21.18,0.14,0.28,195.58,220.0,,,,
OG Anunoby,1628384,NYK,Forward-Guard,34.2,0.22,0.21,200.66,240.0,199.47,216.29,1.19,23.71
Pascal Siakam,1627783,IND,Forward,34.39,0.32,0.25,203.2,245.0,,,,
Jakob Poeltl,1627751,TOR,Center,26.53,0.21,0.33,213.36,260.0,206.12,238.2,7.24,21.8
Scottie Barnes,1630567,TOR,Forward-Guard,35.26,0.29,0.26,200.66,237.0,200.6,221.04,0.06,15.96
Dennis Schroder,203471,TOR,Guard,31.02,0.23,0.22,185.42,175.0,195.11,207.24,-9.69,-32.24
Gary Trent Jr,1629018,TOR,Guard,26.1,0.23,0.16,195.58,204.0,196.86,209.68,-1.28,-5.68
Precious Achiuwa,1630173,NYK,Forward,17.76,0.21,0.32,203.2,243.0,204.4,231.31,-1.2,11.69
Malachi Flynn,1630201,NYK,Guard,12.24,0.17,0.27,185.42,185.0,194.52,205.18,-9.1,-20.18
Otto Porter Jr,203490,TOR,Forward,11.53,0.1,0.19,203.2,230.0,200.07,216.48,3.13,13.52
Chris Boucher,1628449,TOR,Forward,14.05,0.23,0.26,205.74,200.0,200.25,217.58,5.49,-17.58
Jalen McDaniels,1629667,TOR,Forward,9.0,0.17,0.26,205.74,190.0,199.39,215.79,6.35,-25.79
Garrett Temple,202066,TOR,Guard-Forward,3.92,0.13,0.29,195.58,195.0,196.78,208.12,-1.2,-13.12
Thaddeus Young,201152,TOR,Forward,14.58,0.19,0.31,203.2,225.0,205.14,237.26,-1.94,-12.26
Nicolas Batum,201587,PHI,Guard-Forward,24.82,0.12,0.24,203.2,230.0,199.36,213.62,3.84,16.38
Tobias Harris,202699,PHI,Forward,33.91,0.28,0.19,203.2,226.0,,,,
Joel Embiid,203954,PHI,Center-Forward,34.03,0.54,0.32,213.36,280.0,204.64,232.28,8.72,47.72
De'Anthony Melton,1629001,PHI,Guard,29.03,0.21,0.25,190.5,200.0,196.74,208.13,-6.24,-8.13
Tyrese Maxey,1630178,PHI,Guard,37.4,0.36,0.17,187.96,200.0,196.57,207.16,-8.61,-7.16
Patrick Beverley,201976,PHI,Guard,19.51,0.16,0.24,187.96,180.0,196.81,210.66,-8.85,-30.66
Kelly Oubre Jr,1626162,PHI,Forward-Guard,27.82,0.25,0.22,200.66,203.0,,,,
Marcus Morris Sr,202694,PHI,Forward,16.97,0.19,0.24,203.2,218.0,201.19,222.38,2.01,-4.38
Robert Covington,203496,PHI,Forward,16.79,0.13,0.22,200.66,209.0,200.1,216.26,0.56,-7.26
Paul Reed,1630194,PHI,Forward,16.09,0.2,0.35,205.74,210.0,,,,
Mo Bamba,1628964,PHI,Center,9.32,0.22,0.29,213.36,231.0,,,,
Danuel House Jr,1627863,PHI,Forward-Guard,14.71,0.16,0.23,198.12,220.0,197.18,213.06,0.94,6.94
Furkan Korkmaz,1627788,PHI,Guard-Forward,7.68,0.16,0.15,200.66,202.0,,,,
KJ Martin,1630231,PHI,Forward,9.06,0.14,0.22,198.12,215.0,,,,
Jaden Springer,1630531,PHI,Guard,10.32,0.19,0.25,193.04,202.0,,,,
Deni Avdija,1630166,WAS,Forward,27.38,0.24,0.3,205.74,210.0,,,,
Kyle Kuzma,1628398,WAS,Forward,31.34,0.35,0.21,205.74,221.0,201.73,223.47,4.01,-2.47
Daniel Gafford,1629655,WAS,Forward-Center,26.14,0.2,0.36,208.28,234.0,206.92,239.42,1.36,-5.42
Jordan Poole,1629673,WAS,Guard,29.2,0.27,0.23,193.04,194.0,,,,
Tyus Jones,1626145,WAS,Guard,28.64,0.22,0.2,185.42,196.0,,,,
Danilo Gallinari,201568,DET,Forward,15.03,0.24,0.29,208.28,236.0,204.45,229.94,3.83,6.06
Bilal Coulibaly,1641731,WAS,Guard,26.74,0.15,0.24,203.2,195.0,,,,
Jared Butler,1630215,WAS,Guard,7.47,0.3,0.25,190.5,193.0,196.01,207.88,-5.51,-14.88
Corey Kispert,1630557,WAS,Forward,21.72,0.26,0.23,198.12,224.0,,,,
Mike Muscala,203488,DET,Forward-Center,13.58,0.13,0.32,208.28,240.0,204.26,231.39,4.02,8.61
Patrick Baldwin Jr,1631116,WAS,Forward,7.19,0.16,0.33,205.74,220.0,201.72,221.19,4.02,-1.19
Anthony Gill,1630264,WAS,Forward,5.85,0.21,0.24,203.2,230.0,200.24,218.11,2.96,11.89
Eugene Omoruyi,1630647,WAS,Forward,5.79,0.35,0.23,198.12,235.0,201.82,223.42,-3.7,11.58
Mikal Bridges,1628969,BKN,Guard-Forward,35.19,0.32,0.21,198.12,209.0,197.01,210.6,1.11,-1.6
Cameron Johnson,1629661,BKN,Forward,28.37,0.25,0.21,203.2,210.0,199.27,215.73,3.93,-5.73
Nic Claxton,1629651,BKN,Center,29.78,0.22,0.32,210.82,215.0,204.58,232.49,6.24,-17.49
Cam Thomas,1630560,BKN,Guard,28.92,0.38,0.24,190.5,210.0,197.2,210.97,-6.7,-0.97
Spencer Dinwiddie,203915,BKN,Guard,30.53,0.23,0.2,195.58,215.0,197.84,212.95,-2.26,2.05
Day'Ron Sharpe,1630549,BKN,Center,16.03,0.26,0.33,205.74,265.0,205.0,233.14,0.74,31.86
Dorian Finney-Smith,1627827,BKN,Forward,28.79,0.16,0.25,200.66,220.0,201.44,223.41,-0.78,-3.41
Royce O'Neale,1626220,BKN,Forward,24.26,0.14,0.24,198.12,226.0,200.63,221.1,-2.51,4.9
Dennis Smith Jr,1628372,BKN,Guard,19.62,0.2,0.27,190.5,205.0,195.93,208.95,-5.43,-3.95
Harry Giles III,1628385,SAC,Forward-Center,4.8,0.26,0.33,208.28,240.0,203.22,227.24,5.06,12.76
Lonnie Walker IV,1629022,BKN,Guard-Forward,18.93,0.34,0.17,193.04,204.0,196.87,210.9,-3.83,-6.9
Trendon Watford,1630570,BKN,Forward,11.73,0.24,0.27,203.2,237.0,199.3,215.8,3.9,21.2
De'Andre Hunter,1629631,ATL,Forward-Guard,29.68,0.24,0.26,203.2,221.0,199.59,216.26,3.61,4.74
Saddiq Bey,1630180,ATL,Guard-Forward,32.62,0.2,0.18,200.66,215.0,200.77,218.92,-0.11,-3.92
Clint Capela,203991,ATL,Center,25.82,0.22,0.3,208.28,256.0,206.25,234.67,2.03,21.33
Dejounte Murray,1627749,ATL,Guard,34.72,0.32,0.21,195.58,180.0,196.48,209.81,-0.9,-29.81
Trae Young,1629027,ATL,Guard,36.24,0.36,0.21,185.42,164.0,195.08,205.04,-9.66,-41.04
Bogdan Bogdanovic,203992,ATL,Guard,28.47,0.3,0.28,195.58,225.0,197.59,210.43,-2.01,14.57
Garrison Mathews,1629726,ATL,Guard,12.61,0.14,0.29,198.12,215.0,,,,
Onyeka Okongwu,1630168,ATL,Forward-Center,24.67,0.19,0.31,208.28,240.0,204.37,229.17,3.91,10.83
Wesley Matthews,202083,ATL,Guard,11.21,0.08,0.28,195.58,220.0,197.9,214.51,-2.32,5.49
Bruno Fernando,1628981,ATL,Forward-Center,6.46,0.22,0.23,205.74,240.0,203.68,229.63,2.06,10.37
Trent Forrest,1630235,ATL,Guard,10.63,0.11,0.27,193.04,210.0,,,,
AJ Griffin,1631100,ATL,Forward,7.33,0.15,0.2,198.12,220.0,,,,
Patty Mills,201988,ATL,Guard,11.0,0.14,0.22,187.96,180.0,194.27,204.6,-6.31,-24.6
Cedi Osman,1626224,SAS,Forward,18.23,0.19,0.23,200.66,230.0,199.59,215.84,1.07,14.16
Victor Wembanyama,1641705,SAS,Forward-Center,28.55,0.34,0.28,223.52,210.0,204.52,231.2,19.0,-21.2
Zach Collins,1628380,SAS,Forward-Center,25.36,0.24,0.37,210.82,250.0,205.7,235.38,5.12,14.62
Keldon Johnson,1629640,SAS,Forward-Guard,30.64,0.28,0.22,195.58,220.0,200.11,219.34,-4.53,0.66
Devin Vassell,1630170,SAS,Guard-Forward,31.42,0.3,0.16,195.58,200.0,197.59,210.02,-2.01,-10.02
Jeremy Sochan,1631110,SAS,Forward,29.48,0.2,0.3,203.2,230.0,199.9,218.24,3.3,11.76
Tre Jones,1630200,SAS,Guard,25.7,0.19,0.2,185.42,185.0,194.49,204.51,-9.07,-19.51
Malaki Branham,1631103,SAS,Forward,20.77,0.21,0.21,193.04,180.0,196.08,206.87,-3.04,-26.87
Julian Champagnie,1630577,SAS,Forward,16.02,0.18,0.24,200.66,217.0,,,,
Doug McDermott,203926,SAS,Forward,15.35,0.19,0.26,198.12,225.0,198.48,212.45,-0.36,12.55
Charles Bassey,1629646,SAS,Center-Forward,10.68,0.14,0.29,208.28,230.0,205.98,237.53,2.3,-7.53
Devonte' Graham,1628984,SAS,Guard,8.9,0.21,0.18,185.42,195.0,196.28,201.37,-10.86,-6.37
